id,ticker,stock,industry
1185398c-25b6-11ec-aca0-8c859079d2ba,TITAN,Titan Company Ltd.,Diamond  &  Jewellery
118539ca-25b6-11ec-8a9f-8c859079d2ba,IDBI,IDBI Bank Ltd.,Bank - Private
11853a06-25b6-11ec-800b-8c859079d2ba,DCW,DCW Ltd.,Chemicals
11853a42-25b6-11ec-8f11-8c859079d2ba,DHAMPURSUG,Dhampur Sugar Mills Ltd.,Sugar
11853a7e-25b6-11ec-8d47-8c859079d2ba,500120,Diamines & Chemicals Ltd.,Chemicals
11853aba-25b6-11ec-b2ee-8c859079d2ba,DRBECK,Elantas Beck India Ltd.,Chemicals
11853af6-25b6-11ec-a245-8c859079d2ba,DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals & Drugs
11853b34-25b6-11ec-aaf3-8c859079d2ba,EIDPARRY,E.I.D. - Parry (India) Ltd.,Sugar
11853b6e-25b6-11ec-aeb5-8c859079d2ba,PGHL,Procter & Gamble Health Ltd.,Pharmaceuticals & Drugs
11853ba8-25b6-11ec-a93e-8c859079d2ba,ELECTCAST,Electrosteel Castings Ltd.,Castings-Forgings
11853be6-25b6-11ec-a6b2-8c859079d2ba,ESABINDIA,Esab India Ltd.,Electrodes & Welding Equipment
11853c22-25b6-11ec-95fe-8c859079d2ba,EPL,EPL Ltd.,Plastic Products
11853c5e-25b6-11ec-8c50-8c859079d2ba,ESTER,Ester Industries Ltd.,Plastic Products
11853c9a-25b6-11ec-9322-8c859079d2ba,FGPIND,FGP Ltd.,Miscellaneous
11853ccc-25b6-11ec-9069-8c859079d2ba,500143,PH Capital Ltd.,Finance - Investment
11853d08-25b6-11ec-9b8a-8c859079d2ba,FINCABLES,Finolex Cables Ltd.,Cable
11853d46-25b6-11ec-a7b9-8c859079d2ba,FLATPROD,John Cockrill India Ltd.,Engineering - Industrial Equipments
11853d94-25b6-11ec-a938-8c859079d2ba,UFLEX,Uflex Ltd.,Packaging
11853dd0-25b6-11ec-9376-8c859079d2ba,FOSECOIND,Foseco India Ltd.,Chemicals
11853e0c-25b6-11ec-b22b-8c859079d2ba,GOLDENTOBC,Golden Tobacco Ltd.,Cigarettes-Tobacco
11853e48-25b6-11ec-b9fd-8c859079d2ba,GANESHBE,Ganesh Benzoplast Ltd.,Chemicals
11853e86-25b6-11ec-89bc-8c859079d2ba,GLOBABOARD,Metroglobal Ltd.,Trading
11853ec0-25b6-11ec-b6b7-8c859079d2ba,GTL,GTL Ltd.,Telecommunication - Service  Provider
11853efa-25b6-11ec-b244-8c859079d2ba,GODFRYPHLP,Godfrey Phillips India Ltd.,Cigarettes-Tobacco
11853f38-25b6-11ec-9534-8c859079d2ba,GODREJIND,Godrej Industries Ltd.,Chemicals
11853f74-25b6-11ec-865e-8c859079d2ba,KANSAINER,Kansai Nerolac Paints Ltd.,Paints
11853fa6-25b6-11ec-87d2-8c859079d2ba,GOODRICKE,Goodricke Group Ltd.,Tea-Coffee
11853fe2-25b6-11ec-b730-8c859079d2ba,GOODYEAR,Goodyear India Ltd.,Tyres & Allied
1185401e-25b6-11ec-b247-8c859079d2ba,GTNIND,GTN Industries Ltd.,Textile - Spinning
1185405a-25b6-11ec-abc9-8c859079d2ba,GHCL,GHCL Ltd.,Chemicals
11854098-25b6-11ec-bc79-8c859079d2ba,GFLLIMITED,GFL Ltd.,Chemicals
118540d2-25b6-11ec-979d-8c859079d2ba,GLFL,Gujarat Lease Financing Ltd.,Finance - NBFC
1185410c-25b6-11ec-ba10-8c859079d2ba,HCL-INSYS,HCL Infosystems Ltd.,Trading
1185414a-25b6-11ec-867d-8c859079d2ba,HDFCBANK,HDFC Bank Ltd.,Bank - Private
11854186-25b6-11ec-b2fe-8c859079d2ba,HEROMOTOCO,Hero MotoCorp Ltd.,Automobile Two & Three Wheelers
118541c2-25b6-11ec-8190-8c859079d2ba,HFCL,HFCL Ltd.,Telecommunication - Equipment
118541fe-25b6-11ec-aa30-8c859079d2ba,HSCL,Himadri Speciality Chemical Ltd.,Chemicals
1185423a-25b6-11ec-b8d4-8c859079d2ba,HCC,Hindustan Construction Company Ltd.,Engineering - Construction
1185426c-25b6-11ec-9a01-8c859079d2ba,HINDOILEXP,Hindustan Oil Exploration Company Ltd.,Oil Exploration
118542a8-25b6-11ec-936d-8c859079d2ba,HSIL,HSIL Ltd.,Ceramics-Marble-Granite-Sanitaryware
118542e4-25b6-11ec-9968-8c859079d2ba,HINDZINC,Hindustan Zinc Ltd.,Metal - Non Ferrous
