id,title,link,summary,published,source,org,mapped_stock_id,ticker,stock,industry
2d903fa8-0885-11ee-ad77-acde48001122,Nifty Realty index falls for the first time in 7 sessions post RBI policy outcome,https://www.cnbctv18.com/market/nifty-realty-index-falls-for-the-first-time-in-seven-trading-sessions-rbi-policy-dlf-lodha-shares-16882021.htm,Realty stocks succumbed to profit booking today with Nifty Realty declining 2 percent after the RBI decided to keep repo rates unchanged at 6.5 percent for the second consecutive time in a row,2023-06-08 13:58:37,cnbc, Real,,nan,nan,nan
2d903f8a-0885-11ee-ad77-acde48001122,"Paytm and Zomato over Tata Motors —Samir Arora's unconventional investment strategy",https://www.cnbctv18.com/market/paytm-and-zomato-over-tata-motors-samir-aroras-unconventional-investment-strategy-16892691.htm,"In an interview with CNBC-TV18, Samir Arora, Founder and Fund Manager at Helios Capital said that the IT sector is likely to face additional challenges in the near future. While he acknowledged the potential of companies like Paytm and Zomato, he believes that the IT industry will confront obstacles that may impact its performance.",2023-06-09 15:17:29,cnbc,Paytm,,nan,nan,nan
2d903f8a-0885-11ee-ad77-acde48001122,"Paytm and Zomato over Tata Motors —Samir Arora's unconventional investment strategy",https://www.cnbctv18.com/market/paytm-and-zomato-over-tata-motors-samir-aroras-unconventional-investment-strategy-16892691.htm,"In an interview with CNBC-TV18, Samir Arora, Founder and Fund Manager at Helios Capital said that the IT sector is likely to face additional challenges in the near future. While he acknowledged the potential of companies like Paytm and Zomato, he believes that the IT industry will confront obstacles that may impact its performance.",2023-06-09 15:17:29,cnbc,Tata Motors,118565e4-25b6-11ec-9e12-8c859079d2ba,TATAMOTORS,Tata Motors Ltd.,Automobiles-Trucks-Lcv
2d903f8a-0885-11ee-ad77-acde48001122,"Paytm and Zomato over Tata Motors —Samir Arora's unconventional investment strategy",https://www.cnbctv18.com/market/paytm-and-zomato-over-tata-motors-samir-aroras-unconventional-investment-strategy-16892691.htm,"In an interview with CNBC-TV18, Samir Arora, Founder and Fund Manager at Helios Capital said that the IT sector is likely to face additional challenges in the near future. While he acknowledged the potential of companies like Paytm and Zomato, he believes that the IT industry will confront obstacles that may impact its performance.",2023-06-09 15:17:29,cnbc,Zomato,1188d850-25b6-11ec-bc43-8c859079d2ba,ZOMATO,Zomato Ltd.,e-Commerce
2d903fbc-0885-11ee-ad77-acde48001122,"Paytm shares near 10-month high, may rally up to 22% more—here're the key triggers for the stock",https://www.cnbctv18.com/market/paytm-share-price-target-rs-950-analysts-see-22-percent-further-upside-on-stock-key-levels-to-watch-16889681.htm,"In terms of technicals, the Paytm stock is displaying several positive technical indicators that make it attractive for long-term investors. On a year-to-date basis, the stock has surged 51 percent, while it has risen more than 47 percent in the last six months. The stock has bounced back 85 percent from its 52-week low level of Rs 439.6",2023-06-09 11:29:10,cnbc,Paytm,,nan,nan,nan
2d903f76-0885-11ee-ad77-acde48001122,Radhakishan Damani portfolio stock rises 3% after Motilal Oswal upgrades stock to buy. Do you own?,https://www.cnbctv18.com/market/radhakishan-damani-stock-dmart-avenue-supermarts-shares-up-motilal-oswal-upgrades-stock-to-buy-do-you-own-16891381.htm,"While most retailers found it difficult to expand their footprint in the last three years due to Covid-19, DMart, despite operating on an ownership model, clocked a strong 20 percent CAGR in area addition over FY20-23, translating into 19 percent revenue growth",2023-06-09 13:40:32,cnbc,Radhakishan Damani,,nan,nan,nan
2d903f58-0885-11ee-ad77-acde48001122,"SBI to raise Rs 50,000 crore via debt instruments in FY24; stock dips 2%",https://www.cnbctv18.com/market/sbi-fundraising-rs-50000-crore-via-debt-instruments-in-fy24-stock-cracks-2-percent-16893701.htm,"SBI will raise the funds in rupee or any other convertible currency by issuing debt instruments. The instruments could be long-term bonds, Basel-III compliant additional tier-1 bonds, or Basel-III compliant tier-2 bonds",2023-06-09 15:29:05,cnbc,SBI,1185391e-25b6-11ec-83e9-8c859079d2ba,SBIN,State Bank Of India,Bank - Public
2d903e90-0885-11ee-ad77-acde48001122,Sensex in red but these 3 BSE small-cap stocks jumped over 20% this week,https://www.cnbctv18.com/market/sensex-in-red-but-these-3-bse-smallcap-stocks-jumped-by-20-percent-in-one-week-top-gainers-16897111.htm,"Among the smallcap pack this week, shares of Greenlam Industries have offered the highest returns of 30 percent, followed by HBL Power Systems (HBL) and Uttam Sugar Mills Limited, which rose 15 percent and 12.47 percent, respectively, an average spike of above 20 percent.",2023-06-10 10:26:36,cnbc,BSE,1187d52c-25b6-11ec-a096-8c859079d2ba,BSE,BSE Ltd.,Finance - Others
2d903e90-0885-11ee-ad77-acde48001122,Sensex in red but these 3 BSE small-cap stocks jumped over 20% this week,https://www.cnbctv18.com/market/sensex-in-red-but-these-3-bse-smallcap-stocks-jumped-by-20-percent-in-one-week-top-gainers-16897111.htm,"Among the smallcap pack this week, shares of Greenlam Industries have offered the highest returns of 30 percent, followed by HBL Power Systems (HBL) and Uttam Sugar Mills Limited, which rose 15 percent and 12.47 percent, respectively, an average spike of above 20 percent.",2023-06-10 10:26:36,cnbc,Sensex,,nan,nan,nan
2d903f12-0885-11ee-ad77-acde48001122,"Stock Market Highlights: Sensex, Nifty 50 end lower dragged by IT shares, up for third straight week",https://www.cnbctv18.com/market/stock-market-live-updates-today-share-market-nifty-sensex-banks-kotak-hal-sbi-tata-steel-power-16888881.htm,"Share Market Highlights: BSE Sensex and NSE Nifty 50 ended a volatile session lower on Friday, ending in the red for second session in a row. Losses in IT and FMCG stocks dragged the headline indices lower. Indices, however, have ended higher for the week. The indices, however, recorded minor gains for the week, up for third straight week.",2023-06-09 07:58:55,cnbc,IT,,nan,nan,nan
2d903f12-0885-11ee-ad77-acde48001122,"Stock Market Highlights: Sensex, Nifty 50 end lower dragged by IT shares, up for third straight week",https://www.cnbctv18.com/market/stock-market-live-updates-today-share-market-nifty-sensex-banks-kotak-hal-sbi-tata-steel-power-16888881.htm,"Share Market Highlights: BSE Sensex and NSE Nifty 50 ended a volatile session lower on Friday, ending in the red for second session in a row. Losses in IT and FMCG stocks dragged the headline indices lower. Indices, however, have ended higher for the week. The indices, however, recorded minor gains for the week, up for third straight week.",2023-06-09 07:58:55,cnbc,Sensex,,nan,nan,nan
2d90423c-0885-11ee-ad77-acde48001122,"Stock Market Highlights: Sensex, Nifty 50 snap four-day winning streak, Nifty Bank falls nearly 300 points",https://www.cnbctv18.com/market/stock-market-live-updates-today-share-market-nifty-sensex-rbi-mpc-policy-options-expiry-tata-motors-omcs-16879141.htm,"Share Market Highlights: Indian equities snapped a four-day gaining streak and saw a bout of profit booking from within touching distance of an all-time high. The Sensex fell 300 points on the weekly options expiry session and fell below the 63,000 mark. The Nifty 50 also closed below the 18,650 mark. 39 index constituents ended with losses on Thursday. ",2023-06-08 08:27:29,cnbc,Nifty Bank,,nan,nan,nan
2d90423c-0885-11ee-ad77-acde48001122,"Stock Market Highlights: Sensex, Nifty 50 snap four-day winning streak, Nifty Bank falls nearly 300 points",https://www.cnbctv18.com/market/stock-market-live-updates-today-share-market-nifty-sensex-rbi-mpc-policy-options-expiry-tata-motors-omcs-16879141.htm,"Share Market Highlights: Indian equities snapped a four-day gaining streak and saw a bout of profit booking from within touching distance of an all-time high. The Sensex fell 300 points on the weekly options expiry session and fell below the 63,000 mark. The Nifty 50 also closed below the 18,650 mark. 39 index constituents ended with losses on Thursday. ",2023-06-08 08:27:29,cnbc,Sensex,,nan,nan,nan
2d90402a-0885-11ee-ad77-acde48001122,Aether Industries signs agreement with Saudi Aramco Tech for new technology - Stock at 52-week high,https://www.cnbctv18.com/market/stocks/aether-industries-saudi-aramco-tech-new-agreement-convergence-polyols-technology-16891431.htm,"These products will be supplied to the customer’s global oil and gas locations, along with in Indian markets.",2023-06-09 13:23:53,cnbc,Aether Industries,11853c5e-25b6-11ec-8c50-8c859079d2ba,ESTER,Ester Industries Ltd.,Plastic Products
2d90402a-0885-11ee-ad77-acde48001122,Aether Industries signs agreement with Saudi Aramco Tech for new technology - Stock at 52-week high,https://www.cnbctv18.com/market/stocks/aether-industries-saudi-aramco-tech-new-agreement-convergence-polyols-technology-16891431.htm,"These products will be supplied to the customer’s global oil and gas locations, along with in Indian markets.",2023-06-09 13:23:53,cnbc,Saudi Aramco Tech,,nan,nan,nan
2d9042b4-0885-11ee-ad77-acde48001122,Gati shares rise as much as 7% after May volumes improve from April,https://www.cnbctv18.com/market/stocks/gati-may-business-update-volumes-improve-from-april-flat-yearly-superhub-launch-bhiwandi-16880761.htm,"Gati launched its superhub in Bhiwandi, Maharashtra, which led to an increase in volumes for the Western Zone.",2023-06-08 11:45:02,cnbc,Gati,11876e52-25b6-11ec-a0a8-8c859079d2ba,GATI,GATI Ltd.,Logistics
2d9040f2-0885-11ee-ad77-acde48001122,Hindustan Aeronautics to consider stock split on June 27 - Stock trades at 52-week high,https://www.cnbctv18.com/market/stocks/hindustan-aeronautics-hal-board-meeting-june-27-stock-split-order-book-outlook-fy24-16889801.htm,"The company’s order book stood at Rs 82,000 crore at the end of March 2023. ",2023-06-09 11:07:28,cnbc,Hindustan Aeronautics,118801fa-25b6-11ec-837e-8c859079d2ba,HAL,Hindustan Aeronautics Ltd.,Airlines
2d903eae-0885-11ee-ad77-acde48001122,LIC increases stake in SAIL to 8.68%,https://www.cnbctv18.com/market/stocks/life-insurance-corporation-of-indialic-increases-stake-sail-868-percent-share-drop-16899081.htm,"The state-owned insurance company bought 8.26 crore shares at an average price of Rs 66.18 per unit. It is 2.001 percent of equity capital, the insurer said in a regulatory filing.",2023-06-09 23:59:32,cnbc,LIC,1188106e-25b6-11ec-a15f-8c859079d2ba,LFIC,Lakshmi Finance & Industrial Corporation Ltd.,Finance - NBFC
2d903eae-0885-11ee-ad77-acde48001122,LIC increases stake in SAIL to 8.68%,https://www.cnbctv18.com/market/stocks/life-insurance-corporation-of-indialic-increases-stake-sail-868-percent-share-drop-16899081.htm,"The state-owned insurance company bought 8.26 crore shares at an average price of Rs 66.18 per unit. It is 2.001 percent of equity capital, the insurer said in a regulatory filing.",2023-06-09 23:59:32,cnbc,SAIL,1185395c-25b6-11ec-8235-8c859079d2ba,SAIL,Steel Authority Of India Ltd.,Steel & Iron Products
2d90420a-0885-11ee-ad77-acde48001122,L&T Finance Holdings recommends final dividend of Rs 2 per share for FY23,https://www.cnbctv18.com/market/stocks/lt-finance-holdings-recommends-final-dividend-of-rs-2-per-share-for-fy23-16884141.htm,"Shares of L&T Finance Holdings Ltd ended at Rs 105.80, down by Rs 1.75, or 1.63 percent on the BSE.",2023-06-08 16:36:42,cnbc,L & T Finance Holdings,118807b8-25b6-11ec-8d52-8c859079d2ba,L&TFH,L&T Finance Holdings Ltd.,Finance - NBFC
2d904282-0885-11ee-ad77-acde48001122,Titagarh Rail board meeting on Saturday to consider raising funds - Shares hit 52-week high,https://www.cnbctv18.com/market/stocks/titagarh-rail-board-meeting-june-10-fund-raising-qip-rights-preferential-issue-shares-16882411.htm,The stock gained for the third day in a row and has now gained 12 percent over the last week.,2023-06-08 14:11:16,cnbc,Titagarh Rail,,nan,nan,nan
2d904124-0885-11ee-ad77-acde48001122,"Technical stock picks | Bharat Forge, Triveni Turbine, SBI, and Praj Industries on the radar",https://www.cnbctv18.com/market/stocks-to-buy-sell-technical-picks-bharat-forge-triveni-turbine-sbi-praj-industries-16889081.htm,"Market tech analysts, Kush Bohra, and Shrikant Chouhan have these recommendations for Friday’s trading session.",2023-06-09 09:26:49,cnbc,Bharat Forge,118563d2-25b6-11ec-a7ec-8c859079d2ba,BHARATFORG,Bharat Forge Ltd.,Forgings
2d904124-0885-11ee-ad77-acde48001122,"Technical stock picks | Bharat Forge, Triveni Turbine, SBI, and Praj Industries on the radar",https://www.cnbctv18.com/market/stocks-to-buy-sell-technical-picks-bharat-forge-triveni-turbine-sbi-praj-industries-16889081.htm,"Market tech analysts, Kush Bohra, and Shrikant Chouhan have these recommendations for Friday’s trading session.",2023-06-09 09:26:49,cnbc,Praj Industries,118669ee-25b6-11ec-8d39-8c859079d2ba,PRAJIND,Praj Industries Ltd.,Engineering - Industrial Equipments
2d904124-0885-11ee-ad77-acde48001122,"Technical stock picks | Bharat Forge, Triveni Turbine, SBI, and Praj Industries on the radar",https://www.cnbctv18.com/market/stocks-to-buy-sell-technical-picks-bharat-forge-triveni-turbine-sbi-praj-industries-16889081.htm,"Market tech analysts, Kush Bohra, and Shrikant Chouhan have these recommendations for Friday’s trading session.",2023-06-09 09:26:49,cnbc,SBI,1185391e-25b6-11ec-83e9-8c859079d2ba,SBIN,State Bank Of India,Bank - Public
2d904124-0885-11ee-ad77-acde48001122,"Technical stock picks | Bharat Forge, Triveni Turbine, SBI, and Praj Industries on the radar",https://www.cnbctv18.com/market/stocks-to-buy-sell-technical-picks-bharat-forge-triveni-turbine-sbi-praj-industries-16889081.htm,"Market tech analysts, Kush Bohra, and Shrikant Chouhan have these recommendations for Friday’s trading session.",2023-06-09 09:26:49,cnbc,Triveni Turbine,11883ada-25b6-11ec-aa3c-8c859079d2ba,TRITURBINE,Triveni Turbine Ltd.,Engineering - Industrial Equipments
2d9040d4-0885-11ee-ad77-acde48001122,This analyst explains why he recommends buy calls on RBL Bank and IOC,https://www.cnbctv18.com/market/stocks-to-buy-technical-picks-rbl-bank-ioc-manas-jaiswal-16890411.htm,"Based on Manas Jaiswal’s expert opinion, RBL Bank and IOC appear to be promising short-term trading opportunities.",2023-06-09 11:42:24,cnbc,IOC,11870a70-25b6-11ec-8b3f-8c859079d2ba,IOC,Indian Oil Corporation Ltd.,Refineries
2d9040d4-0885-11ee-ad77-acde48001122,This analyst explains why he recommends buy calls on RBL Bank and IOC,https://www.cnbctv18.com/market/stocks-to-buy-technical-picks-rbl-bank-ioc-manas-jaiswal-16890411.htm,"Based on Manas Jaiswal’s expert opinion, RBL Bank and IOC appear to be promising short-term trading opportunities.",2023-06-09 11:42:24,cnbc,RBL Bank,1187de78-25b6-11ec-b82f-8c859079d2ba,RBLBANK,RBL Bank Ltd.,Bank - Private
2d90426e-0885-11ee-ad77-acde48001122,"This analyst recommends buying Welspun India and Century Textile, here's why",https://www.cnbctv18.com/market/stocks-to-buy-technical-picks-welspun-india-century-textile-manish-hathiramani-16882761.htm,"Hathiramani's first recommendation is Welspun India, with a target price of Rs 112 and a stop loss at Rs 78. This stock has recently shown positive momentum after surpassing the Rs 75 level. ",2023-06-08 14:13:14,cnbc,Century Textile,11853134-25b6-11ec-8e7f-8c859079d2ba,CENTURYTEX,Century Textiles & Industries Ltd.,Diversified
2d90426e-0885-11ee-ad77-acde48001122,"This analyst recommends buying Welspun India and Century Textile, here's why",https://www.cnbctv18.com/market/stocks-to-buy-technical-picks-welspun-india-century-textile-manish-hathiramani-16882761.htm,"Hathiramani's first recommendation is Welspun India, with a target price of Rs 112 and a stop loss at Rs 78. This stock has recently shown positive momentum after surpassing the Rs 75 level. ",2023-06-08 14:13:14,cnbc,Welspun India,11861d68-25b6-11ec-8b7a-8c859079d2ba,WELSPUNIND,Welspun India Ltd.,Textile
